id,text,department,sentiment
0,"Posizione ideale per visitare i luoghi più significativi della città. Staff molto gentile. Pulizia degli ambienti. Camere confortevoli, eleganti, comode. Saletta della prima colazione carina, anche se piccola.",Reception,pos
1,"Si tratta di un bel hotel in centro città. Le camere sono pulite e il servizio eccellente. Colazione ricca a buffet. Non ho dato cinque stelle perché il bagno era freddo, poco riscaldato.",Housekeeping,pos
2,"Hotel molto comodo al centro. Stanze pulite e spaziose... Noi ci siamo trovati molto bene. Il ragazzo alla reception molto gentile. Consigliatissimo",Reception,pos
3,"Hotel grande con tutti i dettagli ma personale incredibilmente disponibile. Ottima colazione a buffet. Abbiamo trascorso una notte qui prima di imbarcarci sul traghetto per la Grecia, servizi eccellenti e un'ottima notte di sonno nonostante l'ondata di caldo. A pochi passi sia dalla stazione che dal porto.",Reception,pos
4,"Buona posizione, si raggiunge un po' tutto a piedi.",Reception,pos
5,"Camera essenziale ma confortevole. Buona la colazione. Fantastico il personale: tutti gentilissimi, sempre sorridenti, sempre pronti ad agevolare la permanenza in città.",Reception,pos
6,"Sono ritornato in questo albergo a distanza di anni e ho apprezzato la ristrutturazione che lo ha reso ancora più confortevole. Posizione centralissima e personale efficiente e molto cortese. Tariffe un po' troppo elevate.",Reception,pos
7,"Terribile. Sono stato derubato di tutti i miei effetti personali e valigie mentre andavo in questo hotel e quando ho chiamato per dire loro che non potevo rimanere perché non avevo effetti personali e non avrebbero cancellato la mia prenotazione e comunque mi hanno addebitato - servizio clienti TERRIBILE.",Reception,neg
8,"Le camere non sono brutte ma servizi inesistenti e personale non cordiale. Tv in camera con 4 canali, Wi-Fi debole, parcheggio 25€ al giorno, colazione nella media. Sinceramente con 100€ al giorno mi aspetterei molto di più, non basta avere il prezzo alto per essere un 4 stelle. Bari offre sicuramente di meglio.",Reception,neg
9,"Ottimo hotel nel cuore della splendida Bari. Receptionist disponibili, gentili donne delle pulizie e personale eccellente per la colazione. La nostra camera era così grande e confortevole. Avevamo molte attrazioni raggiungibili a piedi dall'hotel.",Reception,pos
10,"Hotel pulito e in posizione strategica.",Housekeeping,pos
11,"Parcheggio custodito convenzionato nelle vicinanze. Colazione nella norma. Unica pecca migliorabile è l'insonorizzazione delle stanze tra loro che non permette un corretto riposo",Housekeeping,neg
12,"Siamo stati accolti alla reception con freddezza, in uscita ed entrata Scarseggiano i saluti mancano I sorrisi , prezzi consigliati da booking sono inferiori , parola d'ordine addebito carta di credito ,camera confortevole ,sodfisfacente la colazione . Spero si ravvedano x la soddisfazione dei clienti.",Reception,neg
13,"Ci vado spesso per lavoro non per mia scelta . Hotel abbastanza pulito ma il portiere di notte deve cambiare mestiere, gli dico di mettere la sveglia al mattino e non ti chiama. Letti fanno piangere al mattino ti svegli tutto storto meglio che dormivi sulla sedia. Stanze senza finestra bagno senza finestra. Cmq è un pessimo hotel. Peccato che ci devo sempre venire non per mia scelta",Housekeeping,neg
14,"Stanze grandi anche se di stile vecchio, ma non mi importa data la posizione centrale, comoda e vicino alla stazione ed al teatro Petruzzelli. Soggiorno piacevole. Pulito. Colazione abbondante.",Housekeeping,pos
15,"Convenzionati con parcheggio a pagamento 24h 10e, altrimenti si trova tranquillamente posto nei dintorni.",Reception,pos
16,"stanze molto pulite e organizzazione del personale ottima e luogo buono perché vicino al centro , ma la colazione lascia desiderare poiché da poca scelta,dovrebbe essere arricchita dando più possibilità di scegliere per esempio nel beveraggio",F&B,neg
17,"Con la mia famiglia abbiamo partecipate a DJTen.Ottimo hotel,vicino al centro storico ed alla stazione dei treni.Pulito,staff gentile la colazione molto varia e gustosa(anche la pizza barese).Molto gradita la palestra al 5 piano.",F&B,pos
18,"Gli do 3 stelle solo per la vicinanza a tutto. Camere pulite, letto duro e rumore dei treni durante la notte che impediscono di dormire. Ciliegina sulla torta, la colazione, RIDICOLA!!!!",Housekeeping,neg
19,"Ho soggiornato una notte all'hotel Adria, devo dire che è stato una piacevole sorpresa. Camera spaziosa, colazione ottima e abbondante. Pulizia buona. Posizione ottima per visitare la città soprattutto per chi si sposta in treno.",Housekeeping,pos
20,"Hotel abbastanza semplice e privo di fascino. Le camere sono arredate in modo semplice ma molto pulite. Vicino alla stazione ferroviaria ea pochi passi dal centro storico.",Housekeeping,pos
21,"Hotel con ZERO insonorizzazione, molto rumoroso. La camera era pulita e internet era veloce ma il rumore era estremamente fastidioso.",Housekeeping,neg
22,"Hotel un po' retrò nelle immediate vicinanze della stazione ferroviaria di Bari. Stanze spaziose e confortevoli. Molto pulite. Reception cortese. Buona la prima colazione.",Reception,pos
23,"Hotel molto rumoroso, clienti insoddisfatti, richieste ignorate.",Reception,neg
24,"Ottima posizione, ottima colazione, mobili un po' datati ma bagni moderni.",Housekeeping,pos
25,"Hotel accogliente in posizione centrale. Personale cordiale, camere pulite, buona la prima colazione.",Reception,pos
26,"Hotel nella norma, stanza piccolissima. Servizio ristorante pessimo.",F&B,neg
27,"Camera pulita ma molto rumorosa e costi alti per servizi mediocri.",Housekeeping,neg
28,"Personale poco cordiale ma struttura pulita e vicino alla stazione.",Reception,neg
29,"Personale gentilissimo e disponibile.",Reception,pos
30,"Posizione centrale, personale disponibile e cordiale, pulizia buona.",Reception,pos
31,"Buona posizione ma colazione e pulizia migliorabili.",F&B,neg
32,"Tutto perfetto. Pulizia, ordine e cortesia.",Housekeeping,pos
33,"Camera ampia ma bagno piccolo e scomodo.",Housekeeping,neg
34,"Camera confortevole e accogliente.",Housekeeping,pos
35,"Ottima posizione nel centro storico.",Reception,pos
