id,text,department,sentiment
0,DIREI CHE COLAZIONE BUONA NEL COMPLESSO,F&B,pos
1,direi che stanza in ordine direi,Housekeeping,pos
2,piatti gustosi durante il soggiorno,F&B,pos
3,direi che stanza trascurata direi,Housekeeping,neg
4,Pulizia scarsa durante il soggiorno,Housekeeping,neg
5,direi che personale disponibile tutto sommato,Reception,pos
6,nel complesso pulizia eccellente direi,Housekeeping,pos
7,Qualità bassa direi,F&B,neg
8,ambiente curato durante il soggiorno,Housekeeping,pos
9,nel complesso stanza trascurata tutto sommato,Housekeeping,neg
10,NEL COMPLESSO QUALITÀ BASSA DIREI,F&B,neg
11,"stanza trascurata, ma migliorabile nel complesso",Housekeeping,neg
12,DIREI CHE BUFFET ABBONDANTE NEL COMPLESSO,F&B,pos
13,direi che buffet abbondante,F&B,pos
14,camera molto pulita durante il soggiorno direi,Housekeeping,pos
15,Ambiente curato nel complesso,Housekeeping,pos
16,DIREI CHE PULIZIA SCARSA NEL COMPLESSO,Housekeeping,neg
17,direi che camera sporca direi,Housekeeping,neg
18,servizio veloce,Reception,pos
19,camera sporca,Housekeeping,neg
20,attesa lunga tutto sommato,Reception,neg
21,pulizia eccellente tutto sommato,Housekeeping,pos
22,stanza trascurata durante il soggiorno tutto sommato,Housekeeping,neg
23,"attesa lunga, ma migliorabile direi",Reception,neg
24,personale disponibile direi,Reception,pos
25,Staff gentile tutto sommato,Reception,pos
26,cibo di qualità nel complesso,F&B,pos
27,"PERSONALE DISPONIBILE, MA MIGLIORABILE NEL COMPLESSO",Reception,pos
28,colazione buona nel complesso,F&B,pos
29,"stanza in ordine, ma migliorabile direi",Housekeeping,pos
30,NEL COMPLESSO CAMERA MOLTO PULITA TUTTO SOMMATO,Housekeeping,pos
31,cibo di qualità durante il soggiorno nel complesso,F&B,pos
32,direi che ambiente curato,Housekeeping,pos
33,piatti gustosi nel complesso,F&B,pos
34,nel complesso personale disponibile tutto sommato,Reception,pos
35,direi che cibo freddo,F&B,neg
36,stanza in ordine durante il soggiorno tutto sommato,Housekeeping,pos
37,camra molto pulita,Housekeeping,pos
38,nel complesso personale scortese tutto sommato,Reception,neg
39,"stanza in ordine, ma migliorabile tutto sommato",Housekeeping,pos
40,"colazione buona, ma migliorabile tutto sommato",F&B,pos
41,colazione buona durante il soggiorno tutto sommato,F&B,pos
42,"qualità bassa, ma migliorabile tutto sommato",F&B,neg
43,"buffet abbondante, ma migliorabile tutto sommato",F&B,pos
44,pulizia eccellente nel complesso,Housekeeping,pos
45,"stanza trascurata, ma migliorabile tutto sommato",Housekeeping,neg
46,Camera molto pulita,Housekeeping,pos
47,nel complesso personale scortese,Reception,neg
48,stanza in ordine durante il soggiorno,Housekeeping,pos
49,"accoglienza cordiale, ma migliorabile tutto sommato",Reception,pos
50,camera sporca tutto sommato,Housekeeping,neg
51,accoglienza fredda durante il soggiorno direi,Reception,neg
52,colazione buona direi,F&B,pos
53,Nel complesso servizio veloce nel complesso,Reception,pos
54,buffet abbondante tutto sommato,F&B,pos
55,direi che stanza in ordine nel complesso,Housekeeping,pos
56,nel complesso ambiente curato,Housekeeping,pos
57,personale scortese durante il soggiorno direi,Reception,neg
58,colazionee buona nel complesso,F&B,pos
59,direi che pulizia eccellente nel complesso,Housekeeping,pos
60,staff gentile nel complesso,Reception,pos
61,cibo di qualità durante il soggiorno tutto sommato,F&B,pos
62,stanza in ordine direi,Housekeeping,pos
63,direi che stanza trascurata tutto sommato,Housekeeping,neg
64,nel complesso cibo di qualità nel complesso,F&B,pos
65,Servizio veloce tutto sommato,Reception,pos
66,"POCA SCELTA, MA MIGLIORABILE TUTTO SOMMATO",F&B,neg
