text,department,sentiment,id
Durante il soggiorno il cibo è ottima,F&B,pos,0
Abbiamo trovato la camera poco curata,Housekeeping,neg,1
Il personale si è dimostrato attento alle richieste,Reception,pos,2
Durante il soggiorno il cibo è di bassa qualità,F&B,neg,3
La colazione è apprezzabile,F&B,pos,4
Il servizio di ristorazione è di qualità,F&B,pos,5
L'offerta gastronomica è di bassa qualità,F&B,neg,6
La colazione è di bassa qualità,F&B,neg,7
La qualità del cibo è scarsa,F&B,neg,8
Il servizio di reception è ben organizzato,Reception,pos,9
Durante il soggiorno il personale è stato efficiente,Reception,pos,10
Durante il soggiorno il personale è stato disorganizzato,Reception,neg,11
La camera si presenta trascurata,Housekeeping,neg,12
L'accoglienza è stata inefficiente,Reception,neg,13
La colazione è non soddisfacente,F&B,neg,14
La camera è sporca,Housekeeping,neg,15
La camera si presenta fresca e pulita,Housekeeping,pos,16
Il servizio di ristorazione è poco varia,F&B,neg,17
Il servizio di reception è scortese,Reception,neg,18
Il servizio di reception è efficiente,Reception,pos,19
La camera si presenta ben curata,Housekeeping,pos,20
La colazione è varia e gustosa,F&B,pos,21
La reception risulta scortese,Reception,neg,22
Durante il soggiorno il personale è stato lento,Reception,neg,23
L'offerta gastronomica è ottima,F&B,pos,24
La colazione è soddisfacente,F&B,pos,25
L'offerta gastronomica è fredda,F&B,neg,26
Durante il soggiorno il cibo è di qualità,F&B,pos,27
Il servizio di reception è molto disponibile,Reception,pos,28
L'offerta gastronomica è varia e gustosa,F&B,pos,29
Il buffet è scarsa,F&B,neg,30
Durante il soggiorno il personale è stato ben organizzato,Reception,pos,31
Il livello di pulizia è non pulita,Housekeeping,neg,32
Abbiamo trovato la camera ben mantenuta,Housekeeping,pos,33
Il buffet è ottima,F&B,pos,34
Il servizio di reception è inefficiente,Reception,neg,35
La colazione è deludente,F&B,neg,36
Il servizio di reception è lento,Reception,neg,37
L'accoglienza è stata attento alle richieste,Reception,pos,38
La reception risulta attento alle richieste,Reception,pos,39
La camera è poco curata,Housekeeping,neg,40
Il personale è attento alle richieste,Reception,pos,41
La camera si presenta piena di polvere,Housekeeping,neg,42
La camera è ben curata,Housekeeping,pos,43
L'accoglienza è stata professionale,Reception,pos,44
La qualità del cibo è fredda,F&B,neg,45
La camera risulta igienizzata correttamente,Housekeeping,pos,46
Il livello di pulizia è sporca,Housekeeping,neg,47
La colazione è buona,F&B,pos,48
Abbiamo trovato la camera sporca,Housekeeping,neg,49
Il servizio di reception è disorganizzato,Reception,neg,50
La qualità del cibo è di bassa qualità,F&B,neg,51
Il personale si è dimostrato cordiale,Reception,pos,52
Durante il soggiorno il personale è stato cordiale,Reception,pos,53
L'offerta gastronomica è soddisfacente,F&B,pos,54
La qualità del cibo è apprezzabile,F&B,pos,55
La camera risulta piena di polvere,Housekeeping,neg,56
Durante il soggiorno la camera è stata con scarsa igiene,Housekeeping,neg,57
La reception risulta professionale,Reception,pos,58
L'accoglienza è stata efficiente,Reception,pos,59
Il buffet è soddisfacente,F&B,pos,60
Durante il soggiorno il personale è stato professionale,Reception,pos,61
Durante il soggiorno la camera è stata pulita e ordinata,Housekeeping,pos,62
Durante il soggiorno il personale è stato poco disponibile,Reception,neg,63
La camera è trascurata,Housekeeping,neg,64
Il livello di pulizia è perfettamente ordinata,Housekeeping,pos,65
Durante il soggiorno la camera è stata perfettamente ordinata,Housekeeping,pos,66
Il livello di pulizia è pulita e ordinata,Housekeeping,pos,67
Il livello di pulizia è molto pulita,Housekeeping,pos,68
L'offerta gastronomica è non soddisfacente,F&B,neg,69
L'offerta gastronomica è apprezzabile,F&B,pos,70
Il buffet è ben preparata,F&B,pos,71
Il servizio di ristorazione è ottima,F&B,pos,72
L'accoglienza è stata poco disponibile,Reception,neg,73
L'accoglienza è stata gentile,Reception,pos,74
Durante il soggiorno la camera è stata ben mantenuta,Housekeeping,pos,75
Durante il soggiorno il personale è stato inefficiente,Reception,neg,76
La camera si presenta non pulita,Housekeeping,neg,77
La colazione è ben preparata,F&B,pos,78
La camera è maleodorante,Housekeeping,neg,79
Abbiamo trovato la camera molto pulita,Housekeeping,pos,80
Il servizio di ristorazione è soddisfacente,F&B,pos,81
Il livello di pulizia è fresca e pulita,Housekeeping,pos,82
