id,text,department,sentiment
0,NEL COMPLESSO QUALITÀ BASSA,F&B,neg
1,durante il soggiorno tutto ok con la stanza,Housekeeping,pos
2,NEL COMPLESSO ATTESA LUNGA,Reception,neg
3,Buffet soddisfacente durante il soggiorno,F&B,pos
4,nel complesso reception lenta,Reception,neg
5,Nel complesso pulizia scarsa,Housekeeping,neg
6,Durante il soggiorno poco assortimento,F&B,neg
7,camera sporca direi,Housekeeping,neg
8,NEL COMPLESSO POCO ASSORTIMENTO,F&B,neg
9,Durante il soggiorno personale scortese,Reception,neg
10,Colazione scarsa direi,F&B,neg
11,Nel complesso servizio non buono,Reception,neg
12,Durante il soggiorno personale molto disponibile,Reception,pos
13,Accoglienza buona direi,Reception,pos
14,camera pulitissima direi,Housekeeping,pos
15,Tutto ok con la stanza direi,Housekeeping,pos
16,DURANTE IL SOGGIORNO TUTTO ABBASTANZA BUONO,F&B,pos
17,BUONA PULIZIA GENERALE DURANTE IL SOGGIORNO,Housekeeping,pos
18,nel complesso persoale scortese,Reception,neg
19,La stanza è tutto ok con la stanza,Housekeeping,pos
20,DURANTE IL SOGGIORNO BUFFET SODDISFACENTE,F&B,pos
21,TUTTO OK CON LA STANZA DURANTE IL SOGGIORNO,Housekeeping,pos
22,Durante il soggiorno camera lasciata male,Housekeeping,neg
23,Nel complesso buffet soddisfacente,F&B,pos
24,Accoglienza buona durante il soggiorno,Reception,pos
25,LA STANZA È COLAZIONE BUONA,F&B,pos
26,Reception lenta durante il soggiorno,Reception,neg
27,TUTTO ABBASTANZA BUONO DURANTE IL SOGGIORNO,F&B,pos
28,personale molto disponibile direi,Reception,pos
29,la stanza è camera davvero in ordine,Housekeeping,pos
30,Nel complesso cibo ok,F&B,pos
31,Buona pulizia generale direi,Housekeeping,pos
32,nel complesso cmera davvero in ordine,Housekeeping,pos
33,Qualità bassa durante il soggiorno,F&B,neg
34,CAMERA DAVVERO IN ORDINE DIREI,Housekeeping,pos
35,NEL COMPLESSO colazzione SCARSA,F&B,neg
36,LA STANZA È TUTTO ABBASTANZA BUONO,F&B,pos
37,servizioo non buono durante il soggiorno,Reception,neg
38,Colazione buona durante il soggiorno,F&B,pos
39,la stanza è accoglienza buona,Reception,pos
40,Reception veloce durante il soggiorno,Reception,pos
41,NEL COMPLESSO CAMERA PULITISSIMA,Housekeeping,pos
42,STAFF GENTILE DIREI,Reception,pos
43,Servizio non buono direi,Reception,neg
44,LA STANZA È SERVIZIO NON BUONO,Reception,neg
45,camera davvero in ordine durante il soggiorno,Housekeeping,pos
46,colazzione buona direi,F&B,pos
47,Durante il soggiorno pulizia scarsa,Housekeeping,neg
48,durante il soggiorno buona pulizia generale,Housekeeping,pos
49,cmera davvero in ordine durante il soggiorno,Housekeeping,pos
50,la stanza è camra lasciata male,Housekeeping,neg
51,Personale molto disponibile durante il soggiorno,Reception,pos
52,cameraa davvero in ordine durante il soggiorno,Housekeeping,pos
53,CAMERA LASCIATA MALE DIREI,Housekeeping,neg
54,staff gentile durante il soggiorno,Reception,pos
55,colazione buona direi,F&B,pos
56,Durante il soggiorno cibo ok,F&B,pos
57,La stanza è buona pulizia generale,Housekeeping,pos
58,Nel complesso reception veloce,Reception,pos
59,nel complesso cibo freddo,F&B,neg
60,la stanza è cibo freddo,F&B,neg
61,la stanza è cmera pulitissima,Housekeeping,pos
62,LA STANZA È RECEPTION VELOCE,Reception,pos
63,nel complesso tutto ok con la stanza,Housekeeping,pos
64,DURANTE IL SOGGIORNO cameraa DAVVERO IN ORDINE,Housekeeping,pos
65,durante il soggiorno camera pulitissima,Housekeeping,pos
66,nel complesso camera lasciata male,Housekeeping,neg
67,Camera sporca durante il soggiorno,Housekeeping,neg
68,la stanza è staff gentile,Reception,pos
69,La stanza è qualità bassa,F&B,neg
70,DURANTE IL SOGGIORNO ACCOGLIENZA BUONA,Reception,pos
71,nel complesso staff gentile,Reception,pos
72,durante il soggiorno reception veloce,Reception,pos
73,poco assortimento direi,F&B,neg
74,durante il soggiorno reception lenta,Reception,neg
75,cibo freddo direi,F&B,neg
76,LA STANZA È BUFFET SODDISFACENTE,F&B,pos
77,TUTTO ABBASTANZA BUONO DIREI,F&B,pos
78,nel complesso personale molto disponibile,Reception,pos
79,COLAZIONE SCARSA DURANTE IL SOGGIORNO,F&B,neg
80,Personale scortese durante il soggiorno,Reception,neg
81,LA STANZA È colazzione SCARSA,F&B,neg
82,LA STANZA È CIBO OK,F&B,pos
83,DURANTE IL SOGGIORNO ATTESA LUNGA,Reception,neg
84,Cibo ok direi,F&B,pos
85,nel complesso accoglienza buona,Reception,pos
86,buffet soddisfacente direi,F&B,pos
87,NEL COMPLESSO BUONA PULIZIA GENERALE,Housekeeping,pos
