id,text,department,sentiment
195,Ristorante eccellente con piatti gustosi,F&B,pos
79,Ristorante eccellente con piatti gustosi,F&B,pos
230,Servizio di pulizia superficiale e poco accurato,Housekeeping,neg
"109,""Pulizia eccellente, bagno impeccabile e ambiente igienizzato"",Housekeeping,pos"
22,Hotel un po' retrò nelle immediate vicinanze della stazione ferroviaria di Bari. Internamente curato. Stanze spaziose e confortevoli. Silenziose la sera almeno lato strada. Molto pulite. Reception cortese. Buona la prima colazione.,Reception,pos
"32,""Tutto perfetto. Pulizia, ordine e cortesia. La proprietaria molto disponibile e sempre reperibile. Lo consiglio davvero"",Housekeeping,pos"
84,Bagno non pulito e cattivo odore,Housekeeping,neg
118,Colazione scarsa e poco varia anche se qualcosa mancava,F&B,neg
132,Ampia scelta di cibo dolce e salato al buffet,F&B,pos
114,Check-in confuso e gestione pessima delle richieste ma potrebbe migliorare,Reception,neg
184,Servizio colazione rapido e cibo di qualità,F&B,pos
10,Check-in veloce e personale molto gentile,Reception,pos
73,Procedure di check-in e check-out semplici e veloci,Reception,pos
220,Procedure lente e disorganizzate,Reception,neg
"28,""Reception disponibile e professionale, risposte rapide!!! esperienza altalenante"",Reception,pos"
"82,""Stanza sempre pulita ogni giorno, servizio rifacimento letto preciso"",Housekeeping,pos"
132,AMPIA SCELTA DI CIBO DOLCE E SALATO AL BUFFET MA NON SEMPRE PERFETTO,F&B,pos
"6,""Accoglienza ottima, personale cortese e sorridente"",Reception,pos"
"218,""Camera luminosa, pavimenti puliti e nessuna polvere"",Housekeeping,pos"
198,Servizio lento durante i pasti ma non sempre perfetto,F&B,neg
"146,""Pulizia eccellente, bagno impeccabile e ambiente igienizzato"",Housekeeping,pos"
167,Servizio lento durante i pasti,F&B,neg
"218,""CAMERA LUMINOSA, PAVIMENTI PULITI E NESSUNA POLVERE MA NON SEMPRE PERFETTO"",Housekeeping,pos"
"172,""Camera molto pulita e ordinata, biancheria profumata"",Housekeeping,pos"
81,Servizio di pulizia superficiale e poco accurato,Housekeeping,neg
"45,""Siamo stati in questo posto per due notti.. La posizione è ottima, la stanza grande e molto pulita, forse per la presenza di molte scale strette non è adatta per delle famiglie con passeggini come la nostra.Colazione da migliorare..lo consiglio per ragazzi e giovani coppie.."",Housekeeping,pos,,,"
"185,""Stanza sempre pulita ogni giorno, servizio rifacimento letto preciso"",Housekeeping,pos"
"39,""PULIZIA ECCELLENTE, BAGNO IMPECCABILE E AMBIENTE IGIENIZZATO MA NON SEMPRE PERFETTO!!!"",Housekeeping,pos"
6,Sono ritornato in questo albergo a distanza di anni e ho apprezzato la ristrutturazione che lo ha reso ancora più confortevole. Posizione centralissima e personale efficiente e molto cortese. Tariffe un po' troppo elevate.,Reception,pos
7,Terribile. Sono stato derubato di tutti i miei effetti personali e valigie mentre andavo in questo hotel e quando ho chiamato per dire loro che non potevo rimanere perché non avevo effetti personali e non avrebbero cancellato la mia prenotazione e comunque mi hanno addebitato - servizio clienti TERRIBILE.,Reception,neg
0,Servizio colazzione rapido e cibo di qualità,F&B,pos
231,Servizio colazzione rapido e cibo di qualità,F&B,pos
"78,""Camera sporca, polvere visibile sui mobili anche se qualcosa mancava"",Housekeeping,neg"
72,Scarsa igiene nella stanza e pavimenti sporchi,Housekeeping,neg
"148,""Reception disponibile e professionale, risposte rapide"",Reception,pos"
"76,""Accoglienza ottima, personale cortese e sorridente"",Reception,pos"
"2,""Pulizia eccellente, bagno impeccabile e ambiente igienizzato"",Housekeeping,pos"
165,Procedure lente e disorganizzate,Reception,neg
"166,""Reception disponibile e professionale, risposte rapide esperienza altalenante"",Reception,pos"
178,Ampia scelta di cibo dolce e salato al buffet!!!,F&B,pos
"199,""Stanza sempre pulita ogni giorno, servizio rifacimento letto preciso"",Housekeeping,pos"
209,Ottima igiene generale della stanza e cambio asciugamani regolare,Housekeeping,pos
104,Ristorante eccellente con piatti gustosi ma non sempre perfetto!!!,F&B,pos
77,Buffet povero e poca scelta,F&B,neg
153,Letto non rifatto correttamente e lenzuola macchiate,Housekeeping,neg
136,Colazione ricca e varia con prodotti freschi ma non sempre perfetto,F&B,pos
"21,""Questo hotel è costruito vicino alle ferrovie e su una strada piuttosto trafficata. Questo hotel ha ZERO insonorizzazione, quindi ogni volta che un treno passa o un'auto è sulla strada è come se fosse nella tua stanza! ! ! Potevo dormire solo dalle 0100 alle 0500 del mattino quando non ci sono treni! ! Per favore, stai lontano. La camera era pulita e internet era veloce ma il rumore era estremamente fastidioso."",Housekeeping,neg,,,"
"8,""Le camere non sono brutte ma servizi inesistenti e personale non cordiale. Tv in camera con 4 canali, Wi-Fi debole, parcheggio 25€ al giorno, colazione nella media. Sinceramente con 100€ al giorno mi aspetterei molto di più, non basta avere il prezzo alto per essere un 4 stelle. Bari offre sicuramente di meglio."",Reception,neg,,,"
30,CHECK-IN VELOCE E PERSONALE MOLTO GENTILE MA NON SEMPRE PERFETTO anche se qualcosa mancava,Reception,pos
"12,""Siamo stati accolti alla reception con freddezza, in uscita ed entrata Scarseggiano i saluti mancano I sorrisi , prezzi consigliati da booking sono inferiori , parola d'ordine addebito carta di credito ,camera confortevole ,sodfisfacente la colazione . Spero si ravvedano x la soddisfazione dei clienti."",Reception,neg,,,"
144,SERVIZIO COLAZIONE RAPIDO E CIBO DI QUALITÀ,F&B,pos
"70,""Reception disponibile e professionale, risposte rapide"",Reception,pos"
210,Colazione ricca e varia con prodotti freschi,F&B,pos
120,Staff della reception molto efficiente e disponibile 24h,Reception,pos
69,Servizio colazione rapido e cibo di qualità ma non sempre perfetto,F&B,pos
55,Buffet povero e poca scelta,F&B,neg
"36,""Siamo stati ospiti per una notte:la posizione del B&B è fantastica perché ti permette di girare Bari vecchia in tranquillità.Due note negative:stanza al terzo piano accessibile con scala a chiocciola!!!!e check-in alle 19 con un aggravio per 15 minuti di 15 euro credo sia una richiesta eccessiva!!!!!Se poi vuoi lasciare il bagaglio dopo le 10,30 check out viene chiesta un ulteriore cifra di 5 euro!!!!Non mi soffermo su altri particolari."",Reception,neg,,,"
"39,""La posizione del B&B è eccellente, essendo situato molto vicino alla cattedrale di Bari. La camera era ampia e dotata di servizi (frigorifero, macchina per il caffè). Tuttavia il frigorifero era molto rumoroso e il bagno molto piccolo. Da esso veniva anche qualche cattivo odore. Inoltre essendo la camera al primo piano non era molto luminosa. La reception avviene dietro appuntamento."",Housekeeping,neg,,,"
86,Ottima igiene generale della stanza e cambio asciugamani regolare,Housekeeping,pos
"203,""Camera molto pulita e ordinata, biancheria profumata!!!"",Housekeeping,pos"
"152,""Stanza sempre pulita ogni giorno, servizio rifacimento letto preciso"",Housekeeping,pos"
"238,""Stanza sempre pulita ogni giorno, servizio rifacimento letto preciso"",Housekeeping,pos"
30,Check-in veloce e personale molto gentile,Reception,pos
177,Ampia scelta di cibo dolce e salato al buffet,F&B,pos
104,Ristorante eccellente con piatti gustosi,F&B,pos
9,Colazione ricca e varia con prodotti freschi,F&B,pos
"145,""Pulizia eccellente, bagno impeccabile e ambiente igienizzato"",Housekeeping,pos"
134,PROCEDURE LENTE E DISORGANIZZATE!!! non tutto era perfetto,Reception,neg
31,Buona la posizione non lontana dalla stazione di Bari Centrale e da Corso Cavour. Colazione da migliorare. Camera non spaziosa come dovrebbe essere in un hotel a 3 stelle. La pulizia non è delle migliori.,F&B,neg
90,Colazione ricca e varia con prodotti freschi,F&B,pos
"78,""Camera sporca, polvere visibile sui mobili"",Housekeeping,neg"
"16,""stanze molto pulite e organizzazione del personale ottima e luogo buono perché vicino al centro , ma la colazione lascia desiderare poiché da poca scelta,dovrebbe essere arricchita dando più possibilità di scegliere per esempio nel beveraggio"",F%B,neg,,,"
61,Ristorante eccellente con piatti gustosi!!!,F&B,pos
"117,""Stanza sempre pulita ogni giorno, servizio rifacimento letto preciso"",Housekeeping,pos"
83,Servizio di pulizia superficiale e poco accurato,Housekeeping,neg
131,SCARSA COMUNICAZIONE ALLA RECEPTION MA NON SEMPRE PERFETTO,Reception,neg
"155,""Reception disponibile e professionale, risposte rapide"",Reception,pos"
149,Procedure di check-in e check-out semplici e veloci,Reception,pos
"38,""Sicuramente tornerò in quell'hotel. Buona colazione dolce italiana con ottimo caffè e croissant. vicino alla città vecchia e nuova. pulito e ordinato. Camera grande con tv, caffè espresso. Riordina ogni giorno Altamente raccomandato"",F&B,pos,,,"
163,Colazione ricca e varia con prodotti freschi,F&B,pos
75,Procedure di check-in e check-out semplici e veloci,Reception,pos
"70,""Reception disponibile e professionale, risposte rapide ma non sempre perfetto"",Reception,pos"
229,Buffet povero e poca scelta,F&B,neg
68,Procedure lente e disorganizzate,Reception,neg
