text,department,sentiment,id
personale disponibile,Reception,pos,111
L'accoglienza è stata poco disponibile,Reception,neg,73
"personale disponibile, ma migliorabile direi",Reception,pos,124
La reception risulta disorganizzato,Reception,neg,155
L'offerta gastronomica è di qualità,F&B,pos,104
direi che accoglienza cordiale direi,Reception,pos,144
nel complesso personale scortese direi,Reception,neg,127
Durante il soggiorno il personale è stato scortese,Reception,neg,124
Il livello di pulizia è molto pulita,Housekeeping,pos,68
"Posizione ideale per visitare i luoghi più significativi della città. Staff molto gentile. Pulizia degli ambienti. Camere confortevoli, eleganti, comode. Saletta della prima colazione carina, anche se piccola.",Reception,pos,0
Il servizio di reception è ben organizzato,Reception,pos,9
Durante il soggiorno il personale è stato molto disponibile,Reception,pos,194
direi che cibo di qualità tutto sommato,F&B,pos,156
Il servizio di reception è attento alle richieste,Reception,pos,84
cibo di qualità durante il soggiorno direi,F&B,pos,121
servizio veloce durante il soggiorno tutto sommato,Reception,pos,138
Camera pulita ma poco adatta a famiglie.,Housekeeping,neg,45
Il buffet è scarsa,F&B,neg,30
"POCA SCELTA, MA MIGLIORABILE TUTTO SOMMATO",F&B,neg,66
stanza in ordine durante il soggiorno nel complesso,Housekeeping,pos,158
Ottima posizione e accoglienza.,Reception,pos,40
Struttura pulita e ben organizzata.,Housekeeping,pos,41
NEL COMPLESSO CAMERA MOLTO PULITA TUTTO SOMMATO,Housekeeping,pos,30
"camera molto pulita, ma migliorabile tutto sommato",Housekeeping,pos,106
Durante il soggiorno il personale è stato inefficiente,Reception,neg,76
Parcheggio custodito convenzionato nelle vicinanze. Colazione nella norma. Unica pecca migliorabile è l'insonorizzazione delle stanze tra loro che non permette un corretto riposo,Housekeeping,neg,11
"Struttura ben rinnovata, pulita e ordinata.",Housekeeping,pos,47
Il personale si è dimostrato gentile,Reception,pos,211
L'accoglienza è stata ben organizzato,Reception,pos,101
"personle SCORTESE, MA MIGLIORABILE DIREI",Reception,neg,84
"Hotel accogliente in posizione centrale. Personale cordiale, camere pulite, buona la prima colazione.",Reception,pos,25
staff gentile durante il soggiorno tutto sommato,Reception,pos,86
accoglienza fredda,Reception,neg,190
Il personale è disorganizzato,Reception,neg,173
Il personale si è dimostrato attento alle richieste,Reception,pos,2
nel complesso colazione scarsa,F&B,neg,83
nel complesso piatti gustosi tutto sommato,F&B,pos,159
L'offerta gastronomica è apprezzabile,F&B,pos,70
La qualità del cibo è poco varia,F&B,neg,209
Durante il soggiorno il personale è stato poco disponibile,Reception,neg,63
camera molto pulita durante il soggiorno nel complesso,Housekeeping,pos,134
